treatment	stain	dosed_dpi	harvest_dpi	animal	mean_ihc_score
ASO 5	Iba1	30	150	3	0.36363636363636365
ASO 5	Iba1	30	150	4	0.5
ASO 5	Iba1	60	150	1	0.25
ASO 5	Iba1	60	150	2	0.6666666666666666
ASO 5	Iba1	60	150	3	0.16666666666666666
ASO 5	Iba1	60	150	4	0.25
ASO 5	Iba1	90	122	1	0.4166666666666667
ASO 5	Iba1	90	122	2	0.6666666666666666
ASO 5	Iba1	90	122	3	0.3333333333333333
ASO 5	Iba1	90	122	4	0.36363636363636365
ASO 5	Iba1	123	139	1	0.8
ASO 5	Iba1	123	139	2	0.75
ASO 5	Iba1	123	139	3	1.0833333333333333
ASO 5	Iba1	123	139	4	1.25
ASO 5	PrP	-14	150	1	0.25
ASO 5	PrP	-14	150	2	0.4166666666666667
ASO 5	PrP	-14	150	3	0.25
ASO 5	PrP	-14	150	4	0.4166666666666667
ASO 5	PrP	30	150	1	0.3333333333333333
ASO 5	PrP	30	150	2	0.3333333333333333
ASO 5	PrP	30	150	3	0.3333333333333333
ASO 5	PrP	30	150	4	0.3333333333333333
ASO 5	PrP	60	150	1	0.16666666666666666
ASO 5	PrP	60	150	2	0.4166666666666667
ASO 5	PrP	60	150	3	0.25
ASO 5	PrP	60	150	4	0.16666666666666666
ASO 5	PrP	90	122	1	0.16666666666666666
ASO 5	PrP	90	122	2	0.09090909090909091
ASO 5	PrP	90	122	3	0.08333333333333333
ASO 5	PrP	90	122	4	0.25
ASO 5	PrP	123	139	1	0.5
ASO 5	PrP	123	139	2	0.3333333333333333
ASO 5	PrP	123	139	3	0.6666666666666666
ASO 5	PrP	123	139	4	0.25
ASO 6	ASO	-14	150	1	0.23076923076923078
ASO 6	ASO	-14	150	2	
ASO 6	ASO	-14	150	3	0
ASO 6	ASO	-14	150	4	0.3076923076923077
ASO 6	ASO	30	150	1	0.38461538461538464
ASO 6	ASO	30	150	2	0.3076923076923077
ASO 6	ASO	30	150	3	0.23076923076923078
ASO 6	ASO	30	150	4	0.3076923076923077
ASO 6	ASO	60	150	1	0.46153846153846156
ASO 6	ASO	60	150	2	0.8461538461538461
ASO 6	ASO	60	150	3	1.125
ASO 6	ASO	60	150	4	0.5
ASO 6	ASO	90	150	1	1.25
ASO 6	ASO	90	150	2	1
ASO 6	ASO	90	150	3	0.8461538461538461
ASO 6	ASO	90	150	4	1.6923076923076923
ASO 6	ASO	123	150	1	2.3846153846153846
ASO 6	ASO	123	150	2	2.4615384615384617
ASO 6	ASO	123	150	3	2.3076923076923075
ASO 6	ASO	123	150	4	2.4166666666666665
ASO 6	GFAP	-14	150	1	0.5833333333333334
ASO 6	GFAP	-14	150	2	
ASO 6	GFAP	-14	150	3	0.25
ASO 6	GFAP	-14	150	4	0.3333333333333333
ASO 6	GFAP	30	150	1	0.5
ASO 6	GFAP	30	150	2	0.5833333333333334
ASO 6	GFAP	30	150	3	0.75
ASO 6	GFAP	30	150	4	0.6666666666666666
ASO 6	GFAP	60	150	1	0.4166666666666667
ASO 6	GFAP	60	150	2	0.5
ASO 6	GFAP	60	150	3	0.45454545454545453
ASO 6	GFAP	60	150	4	0.5
ASO 6	GFAP	90	150	1	0.7272727272727273
ASO 6	GFAP	90	150	2	0.5833333333333334
ASO 6	GFAP	90	150	3	0.8333333333333334
ASO 6	GFAP	90	150	4	0.9166666666666666
ASO 6	GFAP	123	150	1	1.3333333333333333
ASO 6	GFAP	123	150	2	1.0833333333333333
ASO 6	GFAP	123	150	3	1.75
ASO 6	GFAP	123	150	4	1.25
ASO 6	Iba1	-14	150	1	0.3333333333333333
ASO 6	Iba1	-14	150	2	
ASO 6	Iba1	-14	150	3	0.08333333333333333
ASO 6	Iba1	-14	150	4	0.08333333333333333
ASO 6	Iba1	30	150	1	0.3333333333333333
ASO 6	Iba1	30	150	2	0.16666666666666666
