our_dpi	aguzzi_dpi	gene	this_study_log2fc	sorce_nuvolone_log2fc	this_study_padj	sorce_nuvolone_p_bonf	celltype
89	84	Comt	0.00728769430461231	0.10780000000000001	0.999662388620542	1	0_none
89	84	Pcyox1l	0.00572407317148757	0.2666	0.999662388620542	1	0_none
89	84	Pigq	0.00476587366524849	0.127	0.999662388620542	1	0_none
89	84	Phlda3	-0.00818686945944024	0.1043	0.999662388620542	1	0_none
89	84	Cops7b	0.00673707848707396	0.006693	0.999662388620542	1	0_none
89	84	Dicer1	0.00775320935485719	-0.08713	0.999662388620542	1	0_none
89	84	Taf1d	-0.00855439504015492	-0.263	0.999662388620542	1	0_none
89	84	Ogdhl	0.0097957685877904	0.06224	0.999662388620542	1	0_none
89	84	Bcl7c	0.0087419770984518	0.07489	0.999662388620542	1	0_none
89	84	Tmem191c	-0.00520357600195206	0.4625	0.999662388620542	0.43998494	0_none
89	84	Neto2	0.00646043934980756	-0.2223	0.999662388620542	1	0_none
89	84	Capn5	0.01085247705272889	0.2489	0.999662388620542	1	0_none
89	84	Zfp316	-0.00875716450360891	0.2216	0.999662388620542	1	0_none
89	84	Rnf40	-0.00792778758992996	0.1305	0.999662388620542	1	0_none
89	84	Mon2	-0.00608860269015355	-0.004429	0.999662388620542	1	0_none
89	84	Pomp	0.00402916697719926	0.09555	0.999662388620542	1	0_none
89	84	Arrb1	-0.00572467134629058	0.07694	0.999662388620542	1	0_none
89	84	Arap2	-0.00521887950568831	-0.1539	0.999662388620542	1	0_none
89	84	Mfsd2a	-0.00900969891053269	0.4113	0.999662388620542	1	0_none
89	84	Timm8a1	-0.00887630315381468	-0.2435	0.999662388620542	1	0_none
89	84	Ndufs2	-0.00589284596008447	0.05419	0.999662388620542	1	0_none
89	84	Rab3a	-0.00315405582267561	0.302	0.999662388620542	1	0_none
89	84	Traip	-0.00730080628550686	0.4444	0.999662388620542	1	0_none
89	84	Nlgn1	-0.0065772375180819	0.01744	0.999662388620542	1	0_none
89	84	Nsfl1c	-0.00546668388242321	0.1679	0.999662388620542	1	0_none
89	84	Cacng2	0.00653101579548461	0.07486	0.999662388620542	1	0_none
89	84	Syt13	0.00339413782052199	0.14	0.999662388620542	1	0_none
89	84	Sgip1	-0.00647357889103398	0.002743	0.999662388620542	1	0_none
89	84	Mthfs	-0.02157122031190887	-0.2905	0.999662388620542	1	0_none
89	84	Clcn7	-0.00889451587791327	0.07493	0.999662388620542	1	0_none
89	84	Ndufb4	0.005661750079726	0.1329	0.999662388620542	1	0_none
89	84	Ythdc1	-0.0066604329293268	-0.1042	0.999662388620542	1	0_none
89	84	Mrpl33	0.00510825664451498	0.1114	0.999662388620542	1	0_none
89	84	Ubn1	0.00515814357901584	0.03546	0.999662388620542	1	0_none
89	84	Ensa	-0.00962344139936866	0.07577	0.999662388620542	1	0_none
89	84	Cenpv	-0.00741152216545902	0.02428	0.999662388620542	1	0_none
89	84	Cox7b	0.00476210421968919	0.08372	0.999662388620542	1	0_none
89	84	St13	0.00511346564613778	-0.1175	0.999662388620542	1	0_none
89	84	Atxn3	-0.01040881846714685	-0.04261	0.999662388620542	1	0_none
89	84	B230209E15Rik	0.01884220698290712	-0.09769	0.999662388620542	1	0_none
89	84	Slc44a2	-0.01182123798412563	0.01925	0.999662388620542	1	0_none
89	84	Mnat1	-0.00891850748373213	-0.08721	0.999662388620542	1	0_none
89	84	Hspa4	0.01021538938894405	-0.104	0.999662388620542	1	0_none
89	84	Pik3r3	0.00531243043066942	-0.04247	0.999662388620542	1	0_none
89	84	Letmd1	-0.00959682014784913	0.1638	0.999662388620542	1	0_none
89	84	Gbf1	0.00821693511590064	0.06988	0.999662388620542	1	0_none
89	84	Timm44	-0.0107006017782894	0.2187	0.999662388620542	1	0_none
89	84	D330023K18Rik	0.01012806189473102	0.2056	0.999662388620542	1	0_none
89	84	Sdhaf2	0.00853954230347256	-0.04658	0.999662388620542	1	0_none
89	84	Rpl31	0.00545177986493978	0.0308	0.999662388620542	1	0_none
89	84	Tnrc18	0.01004205059780688	0.4009	0.999662388620542	1	0_none
89	84	Csnk1a1	-0.00473295894203355	0.00856	0.999662388620542	1	0_none
89	84	Tpp2	-0.0087421019077956	-0.104	0.999662388620542	1	0_none
89	84	Cdc42se2	0.00566295569280407	0.164	0.999662388620542	1	0_none
89	84	Cnot4	-0.01100008180947007	-0.09132	0.999662388620542	1	0_none
89	84	Ndufb10	0.00410988357397792	0.1953	0.999662388620542	1	0_none
89	84	Adamtsl4	-0.01085174104948586	-0.1927	0.999662388620542	1	0_none
89	84	Armc1	0.00480126300696713	-0.1539	0.999662388620542	1	0_none
89	84	Hlf	0.00581182047377483	0.01961	0.999662388620542	1	0_none
89	84	Rps28	0.01092657776763994	0.2093	0.999662388620542	1	0_none
89	84	Fzd3	0.00812423436240381	-0.2078	0.999662388620542	1	0_none
89	84	Zfp358	-0.00831514499151054	0.1716	0.999662388620542	1	0_none
89	84	Hjurp	-0.00818151756383817	-0.06961	0.999662388620542	1	0_none
89	84	Nfyc	0.00791141785300497	0.1307	0.999662388620542	1	0_none
89	84	Hsdl2	-0.01184944684940353	-0.0524	0.999662388620542	1	0_none
89	84	Mapk9	0.00404430008395555	-7.262e-4	0.999662388620542	1	0_none
89	84	Gnal	-0.00634584216866416	0.003775	0.999662388620542	1	0_none
89	84	Kif1b	-0.00396132632082716	0.1148	0.999662388620542	1	0_none
89	84	Pnkp	-0.01413348788245052	0.2868	0.999662388620542	1	0_none
89	84	Ythdf2	0.01044991020673811	-0.1425	0.999662388620542	1	0_none
89	84	Ddx3x	0.00504009756507385	-0.1494	0.999662388620542	1	0_none
89	84	Naf1	-0.01218593768476508	-0.1855	0.999662388620542	1	0_none
89	84	Hif1a	-0.00695989781682001	-0.163	0.999662388620542	1	0_none
89	84	Fdps	0.00746219844091573	-0.01391	0.999662388620542	1	0_none
89	84	Adam15	0.00714210944404028	0.3931	0.999662388620542	0.78991994	0_none
89	84	Slc1a4	-0.00867368032561072	0.04941	0.999662388620542	1	0_none
89	84	Rsf1	0.00957789817420904	-0.1261	0.999662388620542	1	0_none
89	84	Impact	0.00858343886826888	-0.1567	0.999662388620542	1	0_none
89	84	Rpl30	0.01418719097755544	-0.06307	0.999662388620542	1	0_none
89	84	Chpf2	0.0108682134551899	0.4918	0.999662388620542	1	0_none
89	84	Ddb1	-0.00533949478448918	-0.04145	0.999662388620542	1	0_none
89	84	Stard3nl	-0.01221587967215515	-0.01466	0.999662388620542	1	0_none
89	84	Taf15	-0.01373119602301724	-0.09336	0.999662388620542	1	0_none
89	84	Eif3d	-0.00844572605454572	0.03359	0.999662388620542	1	0_none
89	84	Ints9	0.01326648196894272	-0.01165	0.999662388620542	1	0_none
89	84	Grb10	-0.00884314240166885	-0.1387	0.999662388620542	1	0_none
89	84	Tdrd3	0.01151167339344478	-0.06947	0.999662388620542	1	0_none
89	84	Ddost	0.00716158785217234	-0.02152	0.999662388620542	1	0_none
89	84	Lzts1	0.00745836855251398	-0.01149	0.999662388620542	1	0_none
89	84	Fam171a2	0.01444125789275766	0.5604	0.999662388620542	0.43975165	0_none
89	84	Dtx4	0.00897105168796378	-0.03254	0.999662388620542	1	0_none
89	84	Polr2b	-0.00930049807499563	-0.1261	0.999662388620542	1	0_none
89	84	Khdrbs3	0.00770597612064549	-0.008241	0.999662388620542	1	0_none
89	84	Tgfb2	-0.00994141892922109	0.1919	0.999662388620542	1	0_none
89	84	Fez2	0.00645595313306618	0.09205	0.999662388620542	1	0_none
89	84	Bag4	0.00822924220628835	-0.03834	0.999662388620542	1	0_none
89	84	Rbm17	-0.01019204458976355	-0.08193	0.999662388620542	1	0_none
89	84	Dclk2	-0.00778256108921247	0.1734	0.999662388620542	1	0_none
89	84	Ap3b2	-0.00670323522054011	0.1205	0.999662388620542	1	0_none
89	84	Nsg1	-0.00601485379595536	0.1807	0.999662388620542	1	0_none
89	84	Pnrc1	-0.01256842742858434	-0.09669	0.999662388620542	1	0_none
89	84	Hspa14	-0.00933000735308385	-0.06278	0.999662388620542	1	0_none
89	84	Rabif	-0.01486981310465322	0.001972	0.999662388620542	1	0_none
89	84	Pcdh7	0.00859945120050394	-0.02236	0.999662388620542	1	0_none
89	84	Psd	-0.03330190793149158	0.435	0.999662388620542	1	0_none
89	84	Esrra	0.01239957220716492	0.4375	0.999662388620542	1	0_none
89	84	Bcl11a	-0.00728132215513982	0.1706	0.999662388620542	1	0_none
89	84	Sugt1	-0.0063047737748115	-0.09301	0.999662388620542	1	0_none
89	84	Ncoa1	0.00780908155522351	-0.06118	0.999662388620542	1	0_none
89	84	Ggt7	-0.00814669227782166	0.3272	0.999662388620542	1	0_none
89	84	Syt17	-0.01085357330899436	0.2927	0.999662388620542	1	0_none
89	84	Tmem130	-0.00585996790972132	0.02502	0.999662388620542	1	0_none
89	84	Slc17a7	-0.0058615747063154	0.3766	0.999662388620542	1	0_none
89	84	Hsp90ab1	-0.00533237050778185	-0.09114	0.999662388620542	1	0_none
89	84	Arih2	0.00872602389018764	-0.07422	0.999662388620542	1	0_none
89	84	Ap1s1	-0.0107205050809687	0.3723	0.999662388620542	1	0_none
89	84	Asah1	-0.01550536364698908	-0.05699	0.999662388620542	1	0_none
89	84	Wscd2	-0.01102765954510235	0.2516	0.999662388620542	1	0_none
89	84	Myl4	-0.01463815303286404	-0.05092	0.999662388620542	1	0_none
89	84	Prrc1	0.0162723770088422	0.05105	0.999662388620542	1	0_none
89	84	Nr4a1	0.01405361393826525	-0.3729	0.999662388620542	1	0_none
89	84	Gm13889	-0.01016597361964963	0.7409	0.999662388620542	1	0_none
89	84	Pnmal2	-0.00565149032462264	0.1028	0.999662388620542	1	0_none
89	84	Rab8a	-0.00833513079246741	0.07187	0.999662388620542	1	0_none
89	84	Mblac2	0.01267056785228885	-0.1169	0.999662388620542	1	0_none
89	84	Akap6	0.00708828303165737	-0.02823	0.999662388620542	1	0_none
89	84	Sh3pxd2a	0.01017524895232363	0.08774	0.999662388620542	1	0_none
89	84	Epha4	0.01213586512312128	-0.1274	0.999662388620542	1	0_none
89	84	Cln3	-0.0145985215180213	0.05448	0.999662388620542	1	0_none
89	84	Nrd1	0.00990479047304165	-0.09484	0.999662388620542	1	0_none
89	84	Ufm1	0.00858423795765798	-0.175	0.999662388620542	1	0_none
89	84	Aip	-0.0094655991874437	0.3024	0.999662388620542	1	0_none
89	84	Atg4c	-0.01328208281783718	0.0189	0.999662388620542	1	0_none
89	84	Mmgt1	-0.01182140308400326	-0.1561	0.999662388620542	1	0_none
89	84	Tmem59	0.00503518840452179	-0.09377	0.999662388620542	1	0_none
89	84	Ppp2r5e	0.01057707106160937	-0.08396	0.999662388620542	1	0_none
89	84	Btbd10	-0.00905607591253224	-0.1396	0.999662388620542	1	0_none
89	84	Tada2a	-0.01278278130022267	-0.01555	0.999662388620542	1	0_none
