gene	log2fold_change	base_mean	pvalue	padj	celltype
Minar2	0.09104800278371282	80.04421991682459	0.26919270003372325	0.6685852382850171	0_none
Ptrhd1	0.13649064597993732	26.64049668724687	0.26915197887468806	0.6685852382850171	0_none
Sco1	0.23926852002200136	9.049922759519433	0.269079313587789	0.6685852382850171	0_none
1110020A21Rik	0.3992137524436361	3.077145100195005	0.26894705152583276	0.6683667310086502	0_none
Asb18	0.5928487331911081	1.4853307085703529	0.26889359299792037	0.6683667310086502	0_none
B9d2	0.10711581628207012	49.24758188082724	0.26892330640659823	0.6683667310086502	0_none
Cracr2b	0.28837475221131065	6.416266303055971	0.26886089099473265	0.6683667310086502	0_none
Hspa12b	-0.25878819308172196	7.049816808307448	0.2689348482573682	0.6683667310086502	0_none
mt-Te	0.04990196194841185	2530.548133780117	0.2687588456034834	0.6683667310086502	0_none
Ftl1-ps1	1.3734336235019904	2.4835577702381095	0.26868367190905795	0.668299888644563	0_none
Rnd3	-0.2026253438346568	9.844407195167888	0.2686556694212099	0.668299888644563	0_none
Gm12705	0.5947782764892383	1.5715846607588824	0.2685913641942583	0.668266349417145	0_none
Mrpl27	0.08430470365974423	101.1849468219933	0.26853470763431525	0.6682234374299163	0_none
Tmem80	-0.10124987495286292	69.26770152999967	0.26834827494418545	0.6678575297157799	0_none
Hmgxb3	0.693585432372887	1.2438861333440725	0.26823324296141793	0.6676692407007931	0_none
Gm6136	1.1557438088066814	29.72394501223741	0.2680706208235475	0.6673624205966924	0_none
Hoxb7	-0.6383007859839975	1.4261892887566956	0.2679667033290099	0.6672016771874731	0_none
Sptb	-0.06511354817884936	159.72943765597637	0.26786728209249694	0.6670520832956937	0_none
Eci1	0.11687945596640786	35.274515276690686	0.26781224524944025	0.6670129891964613	0_none
Ccdc50	0.05969453211098888	147.08475305796108	0.26761103711698636	0.6666217060389228	0_none
Slc35g1	0.4018829017930332	3.222464367498823	0.267442158666825	0.6666217060389228	0_none
Tnfsf13b	0.30767657045640123	4.583298943350069	0.26753756158497227	0.6666217060389228	0_none
Vps33a	0.089715871741516115	52.2388660033684	0.26761582643353077	0.6666217060389228	0_none
Wdr3	-0.09865423079767402	46.64220445125374	0.2675038293000175	0.6666217060389228	0_none
Ywhag	0.04855421359552153	1117.8650914145564	0.26739537151030424	0.6666217060389228	0_none
Tbc1d5	-0.13683078934764353	27.276817366671445	0.2675676441316596	0.6666217060389228	1_oligodendrocyte
Bean1	-0.1490192636970447	19.671228749113887	0.2673044398857649	0.6665314827504456	0_none
Exosc2	0.17337189308243914	15.905859666006046	0.26729384304969295	0.6665314827504456	0_none
Gzf1	-0.11205598808435496	34.748545863084956	0.2672278196343421	0.6665314827504456	0_none
Mdm1	0.397956817724144	3.464732061287629	0.26727783374852127	0.6665314827504456	0_none
Mrpl10	0.11644659742090256	39.88247585833704	0.2672277481698885	0.6665314827504456	0_none
Palmd	-0.21639250344197755	11.900848979567538	0.2672917391426873	0.6665314827504456	0_none
Pi4ka	0.05822783780429323	246.9591790865761	0.26710735884910936	0.6665314827504456	0_none
Zfp94	-0.20417193892323723	10.557650090026277	0.2670137388563258	0.6664927066167908	0_none
8430419K02Rik	0.6423959903308775	1.4082442781086726	0.2668028163751493	0.6664432456493801	0_none
