dpi	gene	log2fold_change	base_mean	pvalue	padj
89	Rab3a	-0.00315405582267561	453.6126854811991	0.9745786207596442	0.999662388620542
89	Traip	-0.00730080628550686	28.13423383803571	0.9745365757501504	0.999662388620542
89	Gm13532	-0.00963957782851014	162.94371615277694	0.9743986184947926	0.999662388620542
89	Ankrd63	0.0084552097060065	14.702100674214217	0.9743905115208764	0.999662388620542
89	Nlgn1	-0.0065772375180819	29.04949585990393	0.9743764405653426	0.999662388620542
89	Nsfl1c	-0.00546668388242321	65.96498696547185	0.974300346980652	0.999662388620542
89	Cacng2	0.00653101579548461	130.4515166458395	0.9742764931386556	0.999662388620542
89	Syt13	0.00339413782052199	134.61272761961746	0.9742145916443952	0.999662388620542
89	Sgip1	-0.00647357889103398	35.172946673070335	0.974189275996298	0.999662388620542
89	Mthfs	-0.02157122031190887	10.422764046843737	0.9741545153665184	0.999662388620542
89	Clcn7	-0.00889451587791327	16.894550570755023	0.9741173056058988	0.999662388620542
89	Ndufb4	0.005661750079726	165.6628638886027	0.9741100377914588	0.999662388620542
89	Ythdc1	-0.0066604329293268	34.55059361500175	0.9740983528643866	0.999662388620542
89	Mrpl33	0.00510825664451498	46.7247579013103	0.9740799870745446	0.999662388620542
89	Sppl2a	0.01065929616166896	10.64135686710252	0.97371670060043	0.999662388620542
89	Ubn1	0.00515814357901584	124.67340743662632	0.9736168299664076	0.999662388620542
89	Tmem242	0.00902722007716748	61.5820920599909	0.9735926205858714	0.999662388620542
89	Ensa	-0.00962344139936866	328.54628870746717	0.9735805713745316	0.999662388620542
89	Mtcl1	-0.00651026355158288	32.80113331322308	0.9734723567780444	0.999662388620542
89	Cenpv	-0.00741152216545902	24.59241040809487	0.9734591278752474	0.999662388620542
89	Cox7b	0.00476210421968919	466.8682018806685	0.9733852583501028	0.999662388620542
89	St13	0.00511346564613778	72.71839345596476	0.973321442408488	0.999662388620542
89	Atxn3	-0.01040881846714685	11.287563202995887	0.9732996398576816	0.999662388620542
89	Rxylt1	0.01164737486765363	10.217952927707536	0.9731976193153874	0.999662388620542
89	B230209E15Rik	0.01884220698290712	13.345545136649603	0.9730152707909332	0.999662388620542
89	Slc44a2	-0.01182123798412563	9.981538180995129	0.9730037481937126	0.999662388620542
89	Mnat1	-0.00891850748373213	15.077605251689295	0.9729545010903404	0.999662388620542
89	Hspa4	0.01021538938894405	759.043498234112	0.972910596371905	0.999662388620542
89	Pik3r3	0.00531243043066942	111.02950138480648	0.9728892656740772	0.999662388620542
89	Letmd1	-0.00959682014784913	14.353103865490514	0.9728270813808074	0.999662388620542
89	Gbf1	0.00821693511590064	32.49957086131934	0.972754412571632	0.999662388620542
89	Timm44	-0.0107006017782894	17.57413561204182	0.9727167817626492	0.999662388620542
89	D330023K18Rik	0.01012806189473102	10.223096272133354	0.972703345535506	0.999662388620542
89	Dennd6a	-0.01045584595924501	12.79062139789272	0.9726797766859506	0.999662388620542
89	Sdhaf2	0.00853954230347256	20.215086510012668	0.9725050716882548	0.999662388620542
89	Rpl31	0.00545177986493978	923.2465736632404	0.9724790928943204	0.999662388620542
89	Tnrc18	0.01004205059780688	22.968448208331424	0.97225137368902	0.999662388620542
89	Csnk1a1	-0.00473295894203355	110.77334999227904	0.9721674640942266	0.999662388620542
89	Tpp2	-0.0087421019077956	41.57554537742677	0.972049916243949	0.999662388620542
