gene	gene_length_bp	base_mean	log2fold_change	padj
Dcp2	44467	80.22008691259488	-0.00187098634042707	0.9963709525208396
Sars	20344	67.22538454637709	-0.00355854043734285	0.9963709525208396
Tmem169	18735	12.819125097681171	-0.00509817023830568	0.9963709525208396
Abca2	19837	273.6922178719393	0.00206010491625205	0.996224977140619
Akap11	44562	282.158755964839	-0.00141781218670797	0.996224977140619
Akt3	238130	55.74196199674453	-0.00265729757101457	0.996224977140619
Dcun1d3	43502	15.491673216257457	0.00469679692511473	0.996224977140619
Fam161b	16524	11.842460086825888	-0.00516870691112362	0.996224977140619
Gm31409	38454	1.249478234389456	-0.01625431884634079	0.996224977140619
Kcnj12	48567	15.407363034165348	-0.00470634721653821	0.996224977140619
Msl3l2	9963	14.02122542250972	0.00479572751620149	0.996224977140619
Rab33a	10947	38.79450486050844	0.00320010659141378	0.996224977140619
Slc27a1	18420	34.61333676634629	-0.00411594480334286	0.996224977140619
Slc6a15	51594	87.68983333860004	-0.00265386094088499	0.996224977140619
Tmem120a	8963	7.459911762503149	0.00758619421827548	0.996224977140619
Unk	30892	34.49590824951984	-0.00319560946079113	0.996224977140619
Wdr73	10546	41.65418160084917	0.00277587198765688	0.996224977140619
Zfp300	10353	4.842757679321297	0.00888367780470555	0.996224977140619
Zfp729b	20268	7.357735295406329	-0.00683030406882462	0.996224977140619
Nudt19	9119	92.50538075140058	0.00202530950879921	0.9962224350483116
Gosr1	36977	9.447771685889782	0.0058834815249338	0.996114967029252
Grm7	921649	22.78727542383456	0.00415034682638559	0.996114967029252
Ntrk3	562053	185.23098260678532	0.00268579170240806	0.995895945559084
Tvp23b	37325	61.28701942753864	0.00294482559438226	0.9958649893875494
Ahr	37064	3.549430007205125	0.01038251258081977	0.9957197953260498
Car3	9011	85.37235346994795	0.00574776413960649	0.9957197953260498
Clba1	7315	12.66052426697201	-0.00540570021871118	0.9957197953260498
Scd1	13424	190.93804101671233	-0.00398904546230969	0.9957197953260498
Btbd6	2463	45.02526815858253	-0.00307431651172917	0.9954727649966646
Cdr1os	87407	27.78769591386928	-0.00351992126611209	0.9954727649966646
Dbt	36911	12.38299521382354	0.00625234065155841	0.9954727649966646
Exoc3l	6177	7.379029124492042	-0.00764345157155775	0.9954727649966646
Hcrtr2	97976	1.153888008628524	0.01852282250047056	0.9954727649966646
Myadml2	2127	3.249845648940408	-0.01047828364969349	0.9954727649966646
Rrnad1	8116	19.036380114448185	-0.00440206817129449	0.9954727649966646
Sfmbt1	107872	17.431733881417426	0.00448250844198302	0.9954727649966646
Trim47	21458	10.26572233699957	0.00671406524414171	0.9954727649966646
Wdr76	38137	4.432278138274805	0.00994744406465049	0.9954727649966646
Zranb3	148863	10.95374910460518	0.00585589372609849	0.9954727649966646
D630045J12Rik	130835	60.475471660860826	0.00294977362725024	0.9954205103004132
Dbnl	12474	99.27943580485318	-0.0025539158753274	0.9953608950920056
Fkbp15	60206	41.87044010098196	-0.00312829318493667	0.9952170907729648
Odf2l	35327	2.8317982316242207	0.01294696828297254	0.9952170907729648
Rabif	14126	22.846593226331287	-0.00491772457907338	0.9952170907729648
Setd2	86036	40.28310447627754	0.00313595298331207	0.9952170907729648
Wbp11	14579	86.75292187637018	-0.00296447936061918	0.9952170907729648
Abcc10	25131	8.389867228938083	0.0073939260392326504	0.995147526919134
Htra3	27759	9.47159416697324	0.00818073501973487	0.995147526919134
Syn2	147104	537.260286641006	-0.00201153186517643	0.995147526919134
Trpv2	26029	31.567034584701037	-0.00350923331101918	0.995147526919134
Wdr6	6428	73.60350592161778	0.00656795928479325	0.995147526919134
Mtm1	104924	14.508009573353204	-0.00587961044789689	0.9951340483412222
Zfp382	13008	1.0221424644817227	-0.02019748042705279	0.9951340483412222
Cutc	15642	16.201222907072058	-0.00553566108727535	0.9949492860160924
F5	68439	10.97829798558086	-0.00703479442460316	0.994947974082512
Gm9885	2208	10.765307702535813	-0.00661778333729836	0.994947974082512
Nrg1	1070246	6.726584059737904	-0.00763488912983263	0.994947974082512
Proca1	12371	13.43103662409236	0.00721457019150427	0.994947974082512
Rab27a	52775	4.434465062713789	0.01140893575974718	0.994947974082512
Scarb1	64007	32.99284252440571	0.00460739164617819	0.994947974082512
Zfp800	158078	4.2381983711494255	0.01109734267432789	0.994947974082512
1700024G13Rik	12323	1.3654776185831448	-0.01822905408777712	0.9949040184742572
Nup50	19552	57.35739007065032	0.00309643869200276	0.9949040184742572
Odr4	31775	92.39404471096574	-0.00246102508507129	0.9949040184742572
