FeatureID,FeatureName,microglia Average,microglia Log2 Fold Change,microglia P-Value
ENSMUSG00000064373,Selenop,1.2077575370799696,3.3119166140656575,2.1847389552044815e-08
ENSMUSG00000027111,Itga6,1.0774511064186443,3.3126963726871197,2.2323827289222298e-08
ENSMUSG00000020120,Plek,1.0801433880438782,3.2754396676050277,4.1684423045442296e-08
ENSMUSG00000037940,Inpp4b,4.279650871471956,3.2490740334996193,5.629968409693319e-08
ENSMUSG00000045636,Mtus1,1.0844510386442527,3.254346391695792,5.651175457630072e-08
ENSMUSG00000023150,Ivns1abp,3.5005045691292387,3.17961003181426,1.5780228624749917e-07
ENSMUSG00000060477,Irak2,1.3644483276685881,3.1845186149721174,1.6534911039716084e-07
ENSMUSG00000038168,P3h2,1.6035229359893668,3.1671502240119644,2.13222354424608e-07
ENSMUSG00000097887,Gm26542,1.816751640707899,3.0979642593696948,5.607453161171054e-07
ENSMUSG00000027422,Rrbp1,3.452043499875027,3.0892492592846095,5.883819386310015e-07
ENSMUSG00000026425,Srgap2,11.547734346953646,3.0645869130644594,8.072193314408172e-07
ENSMUSG00000060802,B2m,1.294987461737551,3.0700393657217266,8.938608256051065e-07
ENSMUSG00000028708,Mknk1,1.2056037117797824,3.063759344573142,9.361164315496287e-07
ENSMUSG00000022106,Rcbtb2,1.2131421003304377,3.045647494836009,1.201012074111251e-06
ENSMUSG00000097585,E230029C05Rik,3.22104573642995,3.0251515932493747,1.4690285829262415e-06
ENSMUSG00000021846,Peli2,1.0796049317188314,2.9908354354968303,2.5633015681841393e-06
