FeatureID,FeatureName,oligodendrocyte Average,oligodendrocyte Log2 Fold Change,oligodendrocyte P-Value
ENSMUSG00000036893,Ehmt1,1.0426773854429452,0.18061263591724108,0.9923518549571079
ENSMUSG00000041685,Fcho2,1.0272970984755772,0.17907305212829303,0.9940889421998043
ENSMUSG00000035649,Zcchc7,3.6056165844017616,0.1760111352110003,0.9966550514206862
ENSMUSG00000054428,Atpif1,1.553408983704164,0.17648589691454702,0.9966550514206862
ENSMUSG00000042686,Jph1,1.118783288195266,0.08012457866959904,1
ENSMUSG00000025982,Sf3b1,1.6387960941092068,0.1529597906926704,1
ENSMUSG00000026219,Trip12,1.328273403785278,0.11234754211488862,1
ENSMUSG00000026349,Ccnt2,1.0954476803827076,0.13229200179919418,1
ENSMUSG00000006005,Tpr,1.623415807141839,0.1074107847650061,1
ENSMUSG00000015829,Tnr,3.3677524911305707,0.10843420117300684,1
ENSMUSG00000026657,Frmd4a,5.858033093036648,0.11336874531908192,1
ENSMUSG00000035437,Rabgap1,1.5836392029158872,0.08324464612823024,1
ENSMUSG00000027002,Nckap1,1.6422433998087893,0.165085840941525,1
ENSMUSG00000058318,Phf21a,1.4754468394212987,0.12733498983337316,1
