FeatureID,FeatureName,astrocyte Average,astrocyte Log2 Fold Change,astrocyte P-Value
ENSMUSG00000021794,Glud1,5.822367410669251,3.8341814841787762,9.838255085051892e-58
ENSMUSG00000050447,Lypd6,1.0454241456089262,3.8487234229092855,1.1403132332250378e-57
ENSMUSG00000063458,Lrmda,2.1997733128893993,3.8335005885171216,4.223536346282953e-57
ENSMUSG00000062151,Unc13c,4.062332092141026,3.813146217524144,1.6546377255044795e-56
ENSMUSG00000024654,Asrgl1,2.6650190654901125,3.805959319093443,2.3431121508178593e-56
ENSMUSG00000060961,Slc4a4,10.231073192881553,3.7704401560663836,4.272443120034449e-55
ENSMUSG00000031604,Msmo1,4.35227356031556,3.7642387185675243,8.840782957930963e-55
ENSMUSG00000008734,Gprc5b,1.2594332523831322,3.7601842079242527,3.3256917253943914e-54
ENSMUSG00000021417,Eci2,1.0147951386108691,3.7363151957276526,3.8171298227100523e-53
ENSMUSG00000034165,Ccnd3,1.3878584135582654,3.736025697977015,7.065738106280409e-53
ENSMUSG00000029309,Sparcl1,19.45651040358574,3.7106324074820902,1.0624401724974797e-52
ENSMUSG00000002688,Prkd1,3.9595131747584804,3.7023045769099494,3.073811605559407e-52
ENSMUSG00000017561,Crlf3,2.3602062788052676,3.681290935102168,2.375115775021642e-51
ENSMUSG00000024978,Gpam,2.137234986703656,3.679112163079279,2.966779097272055e-51
ENSMUSG00000027574,Nkain4,1.0290755438028893,3.6891138926119837,3.0951727292887675e-51
ENSMUSG00000027452,Acss1,1.5525262582552155,3.6792011689960518,3.8129396171838925e-51
ENSMUSG00000021340,Gpld1,1.4348360223623595,3.6685774320039712,1.0784095072868498e-50
ENSMUSG00000036570,Fxyd1,1.4853591110761963,3.667827276956153,1.7089295584270416e-50
ENSMUSG00000031808,Slc27a1,2.2712738244025488,3.634929810909923,1.3630679132820314e-49
ENSMUSG00000039007,Cpq,1.9575973379433467,3.6303746345867056,2.588717749516709e-49
ENSMUSG00000069769,Msi2,12.349201982293817,3.6033287430640386,1.401061723531538e-48
ENSMUSG00000027111,Itga6,1.0284846304845987,3.6093775074653904,3.496144117827987e-48
ENSMUSG00000070315,4930581F22Rik,1.100182113103845,3.5919194905511853,1.119664892248579e-47
ENSMUSG00000115263,Gm5089,1.8816649765430187,3.572689384119553,3.4593245061708343e-47
ENSMUSG00000055639,Dach1,1.0842274535100018,3.576531385682248,7.235868611064942e-47
ENSMUSG00000040430,Pitpnc1,6.79619255921198,3.546629565148126,2.0069166381452017e-46
ENSMUSG00000021508,Cxcl14,1.905695451486832,3.540563678202862,9.804263917288596e-46
ENSMUSG00000028565,Nfia,9.317028775039212,3.511479894050445,3.1228322360172125e-45
ENSMUSG00000033763,Mtss2,1.708527374283905,3.5167936444158587,3.72830321422166e-45
ENSMUSG00000021010,Npas3,17.329813371058265,3.5052100145450344,5.930231737526768e-45
ENSMUSG00000034663,Bmp2k,1.4026312465155277,3.510363585774428,8.054326776785125e-45
ENSMUSG00000028194,Ddah1,1.3526990711199813,3.5081233209297245,9.93046360991961e-45
ENSMUSG00000028121,Bcar3,1.1642962081383632,3.500144597631483,3.1690691779117335e-44
ENSMUSG00000086155,9430041J12Rik,1.451086138615348,3.451337722457859,8.197821750847154e-43
ENSMUSG00000062078,Qk,13.323618044154836,3.4287667356148046,2.426081206847396e-42
ENSMUSG00000030029,Lrig1,1.2292966731503172,3.4202440523400486,9.911806535783507e-42
ENSMUSG00000029723,Tsc22d4,2.5459500318545785,3.408473949252203,1.5578028233099485e-41
ENSMUSG00000033577,Myo6,4.888231940005035,3.3951282159903977,3.443382800252488e-41
ENSMUSG00000039375,Wdr17,21.51761605778297,3.373087962221419,1.6829142757994388e-40
ENSMUSG00000016128,Stard13,1.3388126081401548,3.3807929287473564,2.318463602852207e-40
ENSMUSG00000029313,Aff1,1.470093850353692,3.372286506524703,3.516951735035617e-40
ENSMUSG00000026600,Soat1,1.5840416352307083,3.366837902037022,4.450860624525236e-40
ENSMUSG00000021782,Dlg5,1.3585097187498378,3.3153241288686024,2.399285129744875e-38
ENSMUSG00000035376,Hacd2,3.6266320054548373,3.2880314418654706,1.1352038638047373e-37
ENSMUSG00000003623,Crot,1.4795484634463398,3.280330714235387,2.6631497636648853e-37
ENSMUSG00000047045,Tmem164,2.4984799952852423,3.2534294508350845,1.4656370819485875e-36
ENSMUSG00000002475,Abhd3,1.2060540826308912,3.2574454154706918,1.5380647908387683e-36
ENSMUSG00000097156,Gm3764,10.625409347287407,3.2359233449030333,3.5841020144436e-36
ENSMUSG00000026249,Serpine2,2.8094973718121374,3.238723692575391,4.092489046310631e-36
ENSMUSG00000001891,Ugp2,2.056870775416149,3.229121136629993,8.018182328912763e-36
ENSMUSG00000033400,Agl,1.8459147207864441,3.189508091155883,1.1961150301740026e-34
ENSMUSG00000020611,Gna13,1.1804478388383033,3.1917266064405077,1.3393096811324159e-34
ENSMUSG00000021823,Vcl,3.0814159837788115,3.1667533596250523,4.865760020850182e-34
ENSMUSG00000001768,Rin2,1.0305528270986155,3.1603477235085298,1.3092022314539706e-33
ENSMUSG00000055320,Tead1,2.1447198887353354,3.133440387913702,4.9956476110353885e-33
ENSMUSG00000020023,Tmcc3,1.829270662321262,3.118455420253606,1.8185993876122342e-32
ENSMUSG00000118099,Gm31356,1.4136616284569503,3.0987713383771363,5.589612510312574e-32
ENSMUSG00000034640,Tiparp,2.0631738508112476,3.094335355252698,6.617160500532432e-32
ENSMUSG00000053861,Gm9925,2.0948861988928376,3.091546752302728,7.234614912181984e-32
ENSMUSG00000026185,Igfbp5,1.2315618408704307,3.0958767995555077,1.3706232130790429e-31
ENSMUSG00000030310,Slc6a1,3.4215850840080373,3.074568269386762,1.916270935878344e-31
ENSMUSG00000052387,Trpm3,14.803954392025563,3.0557544650622597,7.62129893341608e-31
ENSMUSG00000032067,Pts,1.1452884964000192,3.053567301528807,1.0572996533773483e-30
ENSMUSG00000047786,Lix1,1.8839301442631322,3.023153276957052,5.457623060744431e-30
ENSMUSG00000041556,Fbxo2,1.1075685295824762,3.007670989110773,2.0662208316321323e-29
ENSMUSG00000033721,Vav3,1.8369525354590384,2.9938823870837252,3.116226361191089e-29
ENSMUSG00000025545,Clybl,2.2151370591649524,2.9581849379755853,2.3134339877030484e-28
ENSMUSG00000026385,Dbi,1.891218075188715,2.9587053349080916,2.6305297140283742e-28
ENSMUSG00000004032,Gstm5,1.862263322592481,2.9515179483381004,3.798848163131245e-28
ENSMUSG00000021466,Ptch1,1.6546557767664218,2.9183610855587574,2.479070874010932e-27
ENSMUSG00000032181,Scg3,4.78039025941702,2.907720880769843,3.5834910717272854e-27
ENSMUSG00000033306,Lpp,2.4738586070231388,2.8940598386312013,8.915228155831124e-27
ENSMUSG00000050545,Fam228b,1.6804589916651067,2.879105704951366,2.1461713659559184e-26
ENSMUSG00000037784,Dzip1l,1.5957614160434697,2.864052172128045,5.0045031741804154e-26
ENSMUSG00000033720,Sfxn5,4.294167084016995,2.8590741070310046,5.372399331777166e-26
ENSMUSG00000071757,Zhx2,1.002484444479817,2.854534352191493,1.0130106113442939e-25
ENSMUSG00000033059,Pygb,2.333516693929147,2.82661253262557,3.4701147210619904e-25
ENSMUSG00000032482,Cspg5,8.11038377909003,2.8009783375017676,1.1781212411660896e-24
ENSMUSG00000037852,Cpe,14.108941844162898,2.797101034621427,1.3915715744501502e-24
ENSMUSG00000092274,Neat1,1.8323237144657627,2.794038963182102,3.514526979481851e-24
ENSMUSG00000020333,Acsl6,2.6518220013816247,2.775671316684547,4.8409360907178886e-24
