gene	log2FoldChange	pvalue	padj	baseMean	is_astro	neg_log10p
Fkbpl	0.32288899051871933	0.0044073092691858	0.06990676891329696	28.718080432133213	FALSE	2.3558264731596577
Fkrp	0.01106194566489935	0.8991304586069481	0.9807492781063034	59.84166084366614	FALSE	0.04617729008814849
Fktn	-0.14028108778135212	0.3721255607815894	0.7548925903450371	24.214994090245625	FALSE	0.4293104978765152
Flad1	-0.34627564335463923	0.01110552066952159	0.1308376659905234	17.246954214072908	FALSE	1.9544610752425435
Flcn	-0.1353496671717227	0.11732404119725871	0.4729716758421339	50.90135382938866	FALSE	0.930612986269026
Fli1	0.573389755452809	0.06486609037609535	0.3564061660457138	4.068708609189913	FALSE	1.1879822771777744
Flicr	-0.03241907483243106	0.9436467603495612	0.9893950294380072	1.5987689718410727	FALSE	0.02519054674084583
Flii	-0.0729697444820174	0.6797955627702061	0.9148453921226988	14.937944374883378	FALSE	0.1676216745142178
Flna	0.4247469752508925	2.5668225260528464e-5	0.00138168389688101	59.254246478912464	FALSE	4.590604158060322
Flnb	-0.03736367621133753	0.5916508993382743	0.8797718948234788	95.71373951722369	FALSE	0.22793447099890193
Flnc	1.5397843122725137	6.485672224951857e-9	1.1699048749604648e-6	22.664305703603816	FALSE	8.18804500362662
Flot1	-0.07634093759955854	0.3081354631087681	0.7024545811428257	133.72803360331952	FALSE	0.5112583161389349
Flot2	-0.10782907646832836	0.259964627886884	0.6610618222030602	62.54925497882556	FALSE	0.5850857403314985
Flrt1	-0.07763408715456833	0.7028999157011608	0.9222603861819146	9.304874276712445	FALSE	0.1531065087683412
Flrt2	-0.15305119629667405	0.14634485408947304	0.5255026145576249	38.79604483811976	FALSE	0.834622544018283
Flrt3	-0.11935526977996494	0.5404226385752269	0.8545562118513053	28.952711911477586	FALSE	0.2672664664553982
Flt1	-0.03922702337668344	0.5571895291572451	0.863437224249431	118.11422842519823	FALSE	0.2539970535401726
Flt3	-0.4322668683584181	0.00207261034286623	0.04139361716565361	21.353930598744572	FALSE	2.683482338933409
Flt3l	0.41851201881615346	0.07062609834488534	0.3720403274120172	9.33423908116533	FALSE	1.1510347851701854
Flt4	0.15739811217230987	0.5950965304651603	0.8816046735476563	3.925742267284813	FALSE	0.22541258175373705
Flvcr1	0.2745882500776906	0.02009271240719348	0.18726380515911148	26.940540604876347	FALSE	1.6969614318947308
Flvcr2	-0.13784201014106418	0.476354959674719	0.8223889648006436	10.24269705695786	FALSE	0.3220693086700713
Flywch1	0.33831756438876703	0.14725115979472034	0.5268991550832295	11.933548167106238	FALSE	0.8319412758925513
Flywch2	0.01939676622827729	0.8644995977152126	0.9713375640354612	33.92384341065186	FALSE	0.0632352044838747
Fmc1	-0.20039625138461056	0.00176486779342408	0.03640522908187196	278.03588055513455	FALSE	2.7532878221384145
Fmn1	-0.28491643033000624	0.34763538634465485	0.7363744406670981	3.47464221408158	FALSE	0.4588760224649686
Fmn2	-0.2801052036448302	0.00986369092483864	0.12040946243453132	31.49917467644934	FALSE	2.005960544658479
Fmnl1	0.105516158092757	0.2753499404355716	0.6746869349747907	57.655296509251	FALSE	0.5601150131304211
Fmnl2	0.1757935599618478	0.07657240158292147	0.3865321944745509	53.85844426311076	FALSE	1.1159277316724916
Fmnl3	0.11101619282528888	0.5854208227292457	0.8771225121672784	9.280919249734994	FALSE	0.23253183428422253
Fmo1	-0.1565419140113125	0.5240087065866026	0.8480068158439859	7.647667833203187	FALSE	0.28066149700271537
Fmo2	0.2745209812123802	0.48084266235959666	0.824843384625913	3.1109042259617734	FALSE	0.3179970068842859
Fmo4	0.6120030053528399	0.3674526254071589	0.7512970056089907	0.8712818886914945	FALSE	0.4347986452886378
Fmo5	-0.18196442831494697	0.42029039437988863	0.7842460577864413	10.326007467890284	FALSE	0.37645053556077857
Fmod	-0.4529863566278358	0.00287876181267197	0.05214987745263454	32.814307538704945	FALSE	2.540794266946001
Fmr1	-0.04890458729370918	0.5923852306285373	0.8801769357907705	42.747925321299654	FALSE	0.2273957778626573
Fn1	0.4280566125844643	4.8334528374376344e-4	0.01396184434609753	71.28683366685692	FALSE	3.3157425146919715
Fn3k	-0.17919555597983716	0.11358501280345626	0.4661588039403349	60.76194536476782	FALSE	0.9446789686791476
Fn3krp	-0.05043294976726408	0.7828249770269551	0.9475204970555824	15.092464318814258	FALSE	0.10633532607493414
Fnbp1	-0.04366245517123374	0.5508609138449301	0.8598961519487595	352.88012204001234	FALSE	0.2589580417556961
Fnbp1l	-0.04088157996291564	0.6757905973227203	0.91280996972176	50.84208866428748	FALSE	0.17018785511700568
Fnbp4	0.2182892848181083	0.06905936696435418	0.3679983112028879	29.145020984236982	FALSE	1.1607774069472925
Fndc1	0.6660295429787817	0.18066193884690585	0.5670288585751548	1.9390013940825432	FALSE	0.7431333332711264
Fndc10	0.00795190645222396	0.937823210511013	0.9893950294380072	81.26924438092986	FALSE	0.0278790229598108
Fndc3a	0.07255231669929571	0.6359685492692835	0.8982492895801725	16.620700742474504	FALSE	0.1965643611071437
Fndc3b	0.09117797937657111	0.7122028116650457	0.924410245553469	7.19451902515935	FALSE	0.14739631613185222
Fndc4	0.00653786546097954	0.9355673221554136	0.9887790538443332	81.49360956649262	FALSE	0.02892495579771761
Fndc5	-0.2526062732712487	1.162134771919469e-5	7.165511706424188e-4	209.08645594386113	FALSE	4.934743504211671
Fndc9	1.400309921784197	0.00470156343473505	0.07307031127348079	4.512884556943933	FALSE	2.327757699900121
Fnip1	-0.03748858055165627	0.7550824136449392	0.9359280625561868	39.44990366236641	FALSE	0.12200564461199336
Fnip2	0.02489328842402699	0.8804047924836192	0.9751220629271832	11.927397158573712	FALSE	0.05531760203017814
Fnta	0.00263082645504666	0.964564513237555	0.9938105243330796	215.2198266154517	FALSE	0.01566872000962526
Fntb	-0.09712114582126508	0.3689753199634582	0.7522358452928216	40.14700818732133	FALSE	0.4330026819768252
Focad	0.21821952987595455	0.6531219768685017	0.9047966061259782	2.2474060048802844	FALSE	0.18500570244022632
Folh1	-0.4937655143201132	0.1598696950896155	0.5440629297984759	2.925040284185438	FALSE	0.7962338533438215
Folr1	-0.08442029806631608	0.6958601741146626	0.9199147158339642	7.773487512939405	FALSE	0.15747801859505783
Fos	0.2717149265323003	0.24527987358917216	0.6471083766264203	20.481684711951573	FALSE	0.6103380863136528
Fosb	0.6380936509032858	0.01559372511165742	0.16244933222083466	14.986575396596669	FALSE	1.8070501258510472
Fosl2	0.4439770836356752	0.00159581984955594	0.03374780463473621	52.19398002337648	FALSE	2.797016137270831
Foxa2	0.36158136609294744	0.47158753558374256	0.8188672046449501	1.5065709458820231	FALSE	0.3264376821578178
Foxa3	0.5440967810169622	0.41757185119377827	0.782138879624933	1.4385058657789669	FALSE	0.3792687851093587
